model,folder,parts_count,pdf,status,file_count
YT-820833,YT-820833,1,assets/robocze-pdf/yt-820833.pdf,parts-from-docx,2
YT-372171,YT-372171,18,assets/robocze-pdf/yt-372171.pdf,parts-from-docx,2
YT-99700,YT-99700,21,assets/robocze-pdf/yt-99700.pdf,parts-from-docx,1
YT-820502,YT-820502,80,assets/robocze-pdf/yt-820502.pdf,parts-from-docx,2
YT-520502,YT-820502,80,assets/robocze-pdf/yt-820502.pdf,parts-from-docx,2
YT-372166,YT-372166 YT-372167,27,assets/robocze-pdf/yt-372166-yt-372167.pdf,parts-from-docx,2
YT-372167,YT-372166 YT-372167,27,assets/robocze-pdf/yt-372166-yt-372167.pdf,parts-from-docx,2
YT-99651,YT-99651,49,assets/robocze-pdf/yt-99651.pdf,parts-from-docx,1
YT-372160,YT-372160 YT-372161,28,assets/robocze-pdf/yt-372160-yt-372161.pdf,parts-from-docx,2
YT-372161,YT-372160 YT-372161,28,assets/robocze-pdf/yt-372160-yt-372161.pdf,parts-from-docx,2
